I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
171,173,ANG DAWA TAMANG,Nan,Nan,Np,27,Nan,12,7,1999,Kinshofer (variant 1),SK,Yoo Han-Kyu,Nan,
172,174,UM,Hong-Gil,Nan,SK,Nan,Nan,12,7,1999,Kinshofer (variant 1),SK,Yoo Han-Kyu,Nan,
173,175,ERÕSS,Zsolt,Nan,Hun,28,Nan,18,7,1999,Diamir Face direct (variant 1),Hun,Zsolt Erõss,Nan,
174,176,KURAHASHI,Hidetoshi,Nan,Jp,Nan,Nan,27,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
175,177,MORI,Shimpei,Nan,Jp,Nan,Nan,27,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
176,178,SEINO,Yoshiki,Nan,Jp,Nan,Nan,27,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
177,179,IKEDA,Takehiko,Nan,Jp,Nan,Nan,28,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
178,180,IÑURRATEGI,Alberto,Nan,E,Nan,Basque,29,7,1999,Kinshofer (variant 1),E,Alberto Iñurrategi,Nan,
179,181,IÑURRATEGI,Félix,Nan,E,Nan,Basque,29,7,1999,Kinshofer (variant 1),E,Alberto Iñurrategi,Nan,
180,182,TAMAYO,José-Carlos,Nan,E,Nan,Basque,29,7,1999,Kinshofer (variant 1),E,Alberto Iñurrategi,Nan,
181,183,KONDO,Kazuyoshi,Nan,Jp,Nan,Nan,29,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
182,184,KWON,Oh-Soo,Nan,SK,Nan,Nan,9,7,2000,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
183,185,LEE,Hong-Kil,Nan,SK,Nan,Nan,9,7,2000,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
184,186,LEE,Hwa-Hyeung,Nan,SK,Nan,Nan,9,7,2000,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
185,187,TAKEUCHI,Hirotaka,Nan,Jp,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
186,188,MAYR,Steffen,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
187,189,ALI,Qudrat,Nan,Pak,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
188,190,EMRODIN,Nan,Nan,Pak,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
189,191,DUJMOVITS,Ralf,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
190,192,GROHS,Klaus-Dieter,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
191,193,GUSTAFSSON,Veikka,Nan,SF,29,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
192,194,KRAMER,Dieter,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
193,195,KOCH,Theresia,f,Ger,7,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
194,196,ZARZUELO,Eva,f,E,8,Asturian,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
195,197,PAULS,Ilgvars,Nan,Lat,30,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
196,198,NETZER,Hans-Joachim,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
197,199,FUNFACK,Magnus,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
198,200,KUNTNER,Christian,Nan,It,Nan,Tyrolean,30,6,2001,Kinshofer (variant 1),It (Focus),Christian Kuntner,Nan,
199,201,BLANC,Abele,Nan,It,Nan,Aostan,30,6,2001,Kinshofer (variant 1),It (Focus),Christian Kuntner,Nan,
200,202,ANDRES,Stefan,Nan,It,Nan,Tyrolean,30,6,2001,Kinshofer (variant 1),It (Focus),Christian Kuntner,Nan,
201,203,URUBKO,Denis,Nan,Kaz,31,Nan,17,6,2003,Kinshofer (variant 1),Kazakh Intern,Maksut Zhumayev,Nan,
202,204,ZHUMAYEV,Maksut,Nan,Kaz,Nan,Nan,17,6,2003,Kinshofer (variant 1),Kazakh Intern,Maksut Zhumayev,Nan,
203,205,PIVTSOV,Vassili,Nan,Kaz,Nan,Nan,17,6,2003,Kinshofer (variant 1),Kazakh Intern,Maksut Zhumayev,Nan,
204,206,CHUMAKHOV,Dmitri,Nan,Kaz,Nan,Nan,17,6,2003,Kinshofer (variant 1),Kazakh Intern,Maksut Zhumayev,Nan,
205,207,LAVROV,Sergei,Nan,Kaz,Nan,Nan,18,6,2003,Kinshofer (variant 1),Kazakh Intern,Maksut Zhumayev,Nan,
206,208,RASPOPOV,Aleksei,Nan,Kaz,Nan,,18,6,2003,Kinshofer (variant 1),Nan,Kazakh Intern,Maksut Zhumayev,Nan
207,209,LITVINOV,Vassili,Nan,Kaz,Nan,,18,6,2003,Kinshofer (variant 1),Nan,Kazakh Intern,Maksut Zhumayev,Nan
208,210,BOGOMOLOV,Sergei,Nan,Rus,Nan,,18,6,2003,Kinshofer (variant 1),Nan,Kazakh Intern,Maksut Zhumayev,Nan
209,211,OTXOA DE OLZA,Iñaki,Nan,E,Basque,,20,6,2003,Kinshofer (variant 1),Nan,Kazakh Intern,Maksut Zhumayev,Nan
210,212,KALTENBRUNNER,Gerlinde,f,A,9,,20,6,2003,Kinshofer (variant 1),Nan,Kazakh Intern,Maksut Zhumayev,Nan
211,213,VIESTURS,Edmund,Nan,USA,Nan,,23,6,2003,Kinshofer (variant 1),Nan,Kazakh Intern,Maksut Zhumayev,Nan
212,214,LAFAILLE,Jean-Christophe,Nan,F,Nan,,23,6,2003,Kinshofer (variant 5),Nan,Kazakh Intern,Maksut Zhumayev,Nan
213,215,BRUGGER,Kurt,Nan,It,Nan,,5,7,2003,Kinshofer (variant 1),Nan,It,Renzo Corona,Nan
214,216,CORONA,Giampaolo,Nan,It,Nan,,5,7,2003,Kinshofer (variant 1),Nan,It,Renzo Corona,Nan
215,217,RAINER,Herbert,Nan,A,Nan,,18,6,2004,Kinshofer (variant 1),Nan,A,Markus Kronthaler,Nan
216,218,WÄRTHL,Michael (Michi),Nan,Ger,Nan,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
217,219,STÖCKL,Franz,Nan,Ger,Nan,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
218,220,ALI,Sarwar,Nan,Pak,Nan,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
219,221,DEMJEN-LERJEN,Michael,Nan,CH,Nan,,18,6,2004,Kinshofer (variant 1),youngest (18),International,Michael Wärthl (Ger),Nan
220,222,SPÖRRI,Flurin,Nan,CH,Nan,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
221,223,LUNDELL,Michael,Nan,S,32,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
222,224,SCHAFROTH,Michael,Nan,Ger,Nan,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
223,225,WOLF,Herbert,Nan,A,Nan,,18,6,2004,Kinshofer (variant 1),Nan,International,Michael Wärthl (Ger),Nan
224,226,JUNG,Günter,Nan,Ger,Nan,,30,6,2004,Kinshofer (variant 1),"oldest (64), died on descent",Ger (Saxon),Christian Walter,Nan
225,227,WALTER,Christian,Nan,Ger,Nan,,30,6,2004,Kinshofer (variant 1),Nan,Ger (Saxon),Christian Walter,Nan
226,228,WALTER,Markus,Nan,Ger,Nan,,30,6,2004,Kinshofer (variant 1),Nan,Ger (Saxon),Christian Walter,Nan
227,229,STINGL,Jörg,Nan,Ger,Nan,,30,6,2004,Kinshofer (variant 1),Nan,Ger (Saxon),Christian Walter,Nan
228,230,GILLIOZ,Laurent,Nan,CH,Nan,,27,6,2005,Kinshofer (variant 1),Nan,Swiss,André Georges,Nan
229,231,RAZA,Ali,Nan,Pak,Nan,,27,6,2005,Kinshofer (variant 1),Nan,Swiss,André Georges,Nan
230,232,JAROŠ,Radek,Nan,Cz,Nan,,28,6,2005,Kinshofer (variant 1),Nan,Czech,Pavel Matoušek,Nan
231,233,KIM,Chang-Ho,Nan,SK,Nan,,14,7,2005,Rupal Face direct (variant),Nan,South Korean,Lee Sung-Won,Nan
232,234,LEE,Hyun-Jo,Nan,SK,Nan,,14,7,2005,Rupal Face direct (variant),Nan,South Korean,Lee Sung-Won,Nan
233,235,BOUCHET,Gilles Sere,Nan,F,Nan,,15,7,2005,Kinshofer (variant 1),Nan,Spanish/French,Jorge Egocheaga (Spain),Nan
234,236,DE CHOUDENS (b OLLAGNIER),Sandrine,f,F,Nan,,15,7,2005,Kinshofer (variant 1),Nan,Spanish/French,Jorge Egocheaga (Spain),Nan
235,237,EGOCHEAGA,Jorge,Nan,E,Asturian,,15,7,2005,Kinshofer (variant 1),Nan,Spanish/French,Jorge Egocheaga (Spain),Nan
236,238,IIZUKA,Toshihiro,Nan,Jp,Nan,,16,7,2005,Kinshofer (variant 1),Nan,Japanese,Noriyuki Kenmochi,Nan
237,239,KENMOCHI,Noriyuki,Nan,Jp,Nan,,16,7,2005,Kinshofer (variant 1),Nan,Japanese,Noriyuki Kenmochi,Nan
238,240,NAKAMURA,Kazusada,Nan,Jp,Nan,,16,7,2005,Kinshofer (variant 1),Nan,Japanese,Noriyuki Kenmochi,Nan
239,241,SUNAGA,Shunsuke,Nan,Jp,Nan,,16,7,2005,Kinshofer (variant 1),Nan,Japanese,Noriyuki Kenmochi,Nan
240,242,TANABE,Osamu,Nan,Jp,Nan,,16,7,2005,Kinshofer (variant 1),Nan,Japanese,Noriyuki Kenmochi,Nan
241,243,YOSHIDA,Hideki,Nan,Jp,Nan,,16,7,2005,Kinshofer (variant 1),Nan,Japanese,Noriyuki Kenmochi,Nan
242,244,BEREZIARTUA,Jesús (Josu),Nan,E,Basque (G),,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
243,245,CHAPUISAT,Marianne,f,CH,10,,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
244,246,HASSAN JAN,Nan,1,Pak,Nan,,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
245,247,MONDINELLI,Silvio (Gnaro),Nan,It,Nan,,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
246,248,PASABAN,Edurne,f,E,Basque (G),,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
247,249,SABADELL,Esther,f,E,Catalan,,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
248,250,VALLEJO,Iván,Nan,Ecu,33,,20,7,2005,Kinshofer (variant 1),Nan,International,"Edurne Pasaban (f, Spain)",Nan
249,251,CONSTANTIN,Bernard,Nan,F,Nan,,20,7,2005,Kinshofer (variant 1),Nan,French,Philippe Arvis,Nan
250,252,D'AUBARÈDE,Hugues,Nan,F,Nan,,20,7,2005,Kinshofer (variant 1),Nan,French,Philippe Arvis,Nan
251,253,DOMBES,Georges,Nan,F,Nan,,20,7,2005,Kinshofer (variant 1),Nan,French,Philippe Arvis,Nan
252,254,KARIM,Mehrban,Nan,Pak,Nan,,20,7,2005,Kinshofer (variant 1),Nan,French,Philippe Arvis,Nan
253,255,MOHAMMAD,Qurban,Nan,Pak,Nan,,20,7,2005,Kinshofer (variant 1),Nan,French,Philippe Arvis,Nan
254,256,HUARTE,Javier,Nan,E,Basque (N),,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
255,257,MARTÍNEZ,Raúl,Nan,E,Aragonese,,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
256,258,ORVIZ,Ignacio (Nacho),Nan,E,Asturian,,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
257,259,PAUNER,Carlos,Nan,E,Aragonese,,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
258,260,PÉREZ,Miguel Ángel,Nan,E,Castilian (L),,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
259,261,RAMOS,Martín,Nan,E,Castilian (L),,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
260,262,VALENCIA,Ricardo,Nan,E,Basque (N),,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
261,263,VILLALTA,José,Nan,E,Aragonese,,20,7,2005,Kinshofer (variant 1),Nan,Spanish,Carlos Pauner,Nan
262,264,GONZÁLEZ-RUBIO,Fernando (Fercho),Nan,Col,34,,20,7,2005,Kinshofer (variant 1),Nan,Colombian,Fernando González-Rubio,Nan
263,265,ANDERSON,Vinson (Vince),Nan,USA,Nan,,6,9,2005,Rupal Face C Pillar,Nan,American,Steven House,Nan
264,266,HOUSE,Steven,Nan,USA,Nan,,6,9,2005,Rupal Face C Pillar,Nan,American,Steven House,Nan
265,267,BOYANOV,Doychin Vencislavov,Nan,Bul,Nan,,8,7,2006,Kinshofer (variant 1),Nan,Bulgarian,Nikolay Petkov,Nan
266,268,PETKOV,Nikolay Mihaylov,Nan,Bul,Nan,,8,7,2006,Kinshofer (variant 1),Nan,Bulgarian,Nikolay Petkov,Nan
267,269,KOO,Eun-Soo,Nan,SK,Nan,,8,7,2006,Kinshofer (variant 1),Nan,South Korean,Yu Jin-Kyung,Nan
268,270,DELGADO,José Antonio,Nan,Ven,35,,11,7,2006,Kinshofer (variant 1),died on descent,Venezuelan,José Antonio Delgado,Nan
269,271,HÁMOR,Peter,Nan,Slk,Nan,,15,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
270,272,KOPOLD,Jozef (Dodo),Nan,Slk,Nan,,15,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
271,273,MORAWSKI,Piotr,Nan,Pl,Nan,,15,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
272,274,BARANOWSKA,Kinga,f,Pl,Nan,,18,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
273,275,GABLÍK,Martin,Nan,Slk,Nan,,18,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
274,276,ROJO,Roberto (Gorri),Nan,E,Basque (A),,18,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
275,277,SUCHÝ,Anton,Nan,Slk,Nan,,18,7,2007,Kinshofer (variant 1),Nan,International,Piotr Morawski (Pl),Nan
276,278,GARCÍA-HUIDOBRO,Cristián,Nan,Chl,36,,18,7,2007,Kinshofer (variant 1),Nan,Chilean,Carlos Bascu,Nan
277,279,GUTIÉRREZ,Pablo,Nan,Chl,Nan,,18,7,2007,Kinshofer (variant 1),Nan,Chilean,Carlos Bascu,Nan
278,280,OLIVARES,Ernesto,Nan,Chl,Nan,,18,7,2007,Kinshofer (variant 1),Nan,Chilean,Carlos Bascu,Nan
279,281,ÁLVAREZ,Luis Wolfgang,Nan,Chl,Nan,,18,7,2007,Kinshofer (variant 1),Nan,Chilean,Luis Álvarez,Nan
280,282,JONQUERA,Andrés,Nan,Chl,Nan,,18,7,2007,Kinshofer (variant 1),Nan,Chilean,Luis Álvarez,Nan
281,283,KAGAN,Vladislav,Nan,Blr,37,,19,7,2007,Kinshofer (variant 1),Nan,Belorussian,Aleksandr Godlevsky,Nan
282,284,LUTOV,Anatoli,Nan,Blr,Nan,,19,7,2007,Kinshofer (variant 1),Nan,Belorussian,Aleksandr Godlevsky,Nan
283,285,MELNIKOV,Mikhail,Nan,Blr,Nan,,19,7,2007,Kinshofer (variant 1),Nan,Belorussian,Aleksandr Godlevsky,Nan
284,286,STATSEVICH,Sergei,Nan,Blr,Nan,,19,7,2007,Kinshofer (variant 1),Nan,Belorussian,Aleksandr Godlevsky,Nan
285,287,BRUN,Nicolas,Nan,F,Nan,,19,7,2007,Kinshofer (variant 1),Nan,French,Jean-Noël Urban,Nan
286,288,ALI,Mohammad III,1,Pak,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Rainer Pircher,Nan
287,289,ALI SHER,Nisar Hussain,Nan,Pak,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Rainer Pircher,Nan
288,290,NARDI,Daniele,Nan,It,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Rainer Pircher,Nan
289,291,PANZERI,Mario,Nan,It,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Rainer Pircher,Nan
290,292,PIRCHER,Rainer,Nan,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Rainer Pircher,Nan
291,293,STRENG,Thomas,Nan,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Rainer Pircher,Nan
292,294,GREHER,Jürgen,Nan,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Luis Stitzinger,Nan
293,295,HÜBSCHENBERGER,Florian,Nan,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Luis Stitzinger,Nan
294,296,LUNGER,Josef,Nan,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Luis Stitzinger,Nan
295,297,SÖLL,Helga,f,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Luis Stitzinger,Nan
296,298,STITZINGER,Luis,Nan,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Luis Stitzinger,Nan
297,299,VON MELLE,Alix,f,Ger,Nan,,21,6,2008,Kinshofer (variant 1),Nan,German,Luis Stitzinger,Nan
298,300,ABOLHASSANI,Hossein,Nan,Irn,38,,17,7,2008,Kinshofer (variant 1),Nan,Iranian,Leyla Esfandirari (f),Nan
299,301,AGHDAIE,Sahand,Nan,Irn,Nan,,17,7,2008,Kinshofer (variant 1),Nan,Iranian,Leyla Esfandirari (f),Nan
300,302,ESFANDIARY,Leila,f,Irn,11,,17,7,2008,Kinshofer (variant 1),Nan,Iranian,Leyla Esfandirari (f),Nan
301,303,FARIDYAN,Kazem Zabihi,Nan,Irn,Nan,,17,7,2008,Kinshofer (variant 1),Nan,Iranian,Leyla Esfandirari (f),Nan
302,304,PARTOVINIA,Amirhossein,Nan,Irn,Nan,,17,7,2008,Kinshofer (variant 1),Nan,Iranian,Leyla Esfandirari (f),Nan
303,305,DAWA WANGCHUK,Nan,Nan,Np/Sh,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Oh-Eun-Sun (f),Nan
304,306,PEMA TSHERING I,Nan,Nan,Np/Sh,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Oh-Eun-Sun (f),Nan
305,307,GARCIA,João,Nan,Por,39,,10,7,2009,Kinshofer (variant 1),Nan,Portuguese,João Garcia,Nan
306,308,WENZL,Hans,Nan,A,Nan,,10,7,2009,Kinshofer (variant 1),Nan,International,Gerfried Göschl (A),Nan
307,309,OH,Eun-Sun,f,SK,12,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Oh-Eun-Sun (f),Nan
308,310,ULLAH,Amin,Nan,Pak,Nan,,10,7,2009,Kinshofer (variant 1),Nan,Portuguese,João Garcia,Nan
Nan,311,ALI,Mohammad III,2,Pak,Nan,,10,7,2009,Kinshofer (variant 1),Nan,Portuguese,João Garcia,Nan
309,312,ALLAN,Alexander (Sandy),Nan,UK,Nan,,10,7,2009,Kinshofer (variant 1),Nan,International,Gerfried Göschl (A),Nan
310,313,ALLEN,Richard (Rick),Nan,UK,Nan,,10,7,2009,Kinshofer (variant 1),Nan,International,Gerfried Göschl (A),Nan
311,314,KÖLBLINGER,Wolfgang,Nan,A,Nan,,10,7,2009,Kinshofer (variant 1),died on descent,International,Gerfried Göschl (A),Nan
312,315,GO,Mi-Sun (Mi-Young),f,SK,Nan,,10,7,2009,Kinshofer (variant 1),died on descent,South Korean,Kim Jae-Soo,Nan
313,316,KIM,Jae-Soo,Nan,SK,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Kim Jae-Soo,Nan
314,317,YUN,Chi-Won,Nan,SK,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Kim Jae-Soo,Nan
315,318,SONA,Nan,Nan,Np/Sh,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Kim Jae-Soo,Nan
316,319,TSHERING DORJE a,Nan,Nan,Np/Sh,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Kim Jae-Soo,Nan
Nan,320,HASSAN JAN,Nan,2,Pak,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Kim Jae-Soo,Nan
317,321,MEHDI,Ghulam,Nan,Pak,Nan,,10,7,2009,Kinshofer (variant 1),Nan,South Korean,Kim Jae-Soo,Nan
318,322,GÖSCHL,Gerfried,Nan,A,Nan,,11,7,2009,NW Buttress (Diamir),Nan,International,Gerfried Göschl (A),Nan
319,323,ROUSSEAU,Louis,Nan,Can,40,,11,7,2009,NW Buttress (Diamir),Nan,International,Gerfried Göschl (A),Nan
320,324,BACHMAIR,Josef (Sepp),Nan,A,Nan,,11,7,2009,NW Buttress (Diamir),Nan,International,Gerfried Göschl (A),Nan
321,325,GOGER,Johann (Hans),Nan,A,Nan,,11,7,2009,NW Buttress (Diamir),Nan,International,Gerfried Göschl (A),Nan
322,326,SCHÜTTER,Herbert,Nan,A,Nan,,11,7,2009,Kinshofer (variant 1),Nan,International,Gerfried Göschl (A),Nan
