CHANG,Chun-yen,CHN,,02.,05.,1964,NE Face - Chinese traverse,
CHEN,San,CHN,,02.,05.,1964,NE Face - Chinese traverse,
CHENG,Tien-liang,CHN,,02.,05.,1964,NE Face - Chinese traverse,
DOJI,,CHN,Tibetan,02.,05.,1964,NE Face - Chinese traverse,
HSU,Ching,CHN,,02.,05.,1964,NE Face - Chinese traverse,
MIGMAR TRASHI,,CHN,Tibetan,02.,05.,1964,NE Face - Chinese traverse,
SODNAM DOJI,,CHN,Tibetan,02.,05.,1964,NE Face - Chinese traverse,
WANG,Fu-Zhou,CHN,,02.,05.,1964,NE Face - Chinese traverse,
WU,Tsung-yue,CHN,,02.,05.,1964,NE Face - Chinese traverse,
YONTEN,,CHN,Tibetan,02.,05.,1964,NE Face - Chinese traverse,
DACHER,Michael (Michel),GER,Bayern,07.,05.,1980,NE Face - Chinese traverse,
SCHAFFERT,Wolfgang,GER,,07.,05.,1980,NE Face - Chinese traverse,
STURM,Günter,GER,Bayern,07.,05.,1980,NE Face - Chinese traverse,
ZINTL,Friedrich (Fritz),GER,,07.,05.,1980,NE Face - Chinese traverse,
HUPFAUER,Siegfried (Sigi),GER,Bayern,12.,05.,1980,NE Face - Chinese traverse,
STURM,Manfred,GER,,12.,05.,1980,NE Face - Chinese traverse,
OBOJES,Egon,A,Tyrol,13.,10.,1980,NE Face - Central traverse to E Ridge,
PUTZ,Ewald,A,Lower Austria,13.,10.,1980,NE Face - Central traverse to E Ridge,
JIABU (GYALBU),,CHN,Tibetan,30.,04.,1981,NE Face - Chinese traverse,1
RINGQING PINGCUO,,CHN,Tibetan,30.,04.,1981,NE Face - Chinese traverse,
TABEI (b ISHIBASHI),Junko,JAP,f,30.,04.,1981,NE Face - Chinese traverse,
MESSNER,Reinhold,ITA,South Tyrolean,28.,05.,1981,NE Face - Upper traverse to W Ridge,
MUTSCHLECHNER,Gottfried (Friedl),ITA,South Tyrolean,28.,05.,1981,NE Face - Upper traverse to W Ridge,
BAXTER-JONES,Roger Gregory,UK,English,28.,05.,1982,"SW Face, Central Couloir",
MacINTYRE,Alex,UK,,28.,05.,1982,"SW Face, Central Couloir",
SCOTT,Douglas Keith (Doug),UK,English,28.,05.,1982,"SW Face, Central Couloir",
SCHUM,Ulrich,GER,,29.,04.,1983,NE Face - Chinese traverse,
WALTER,Josef,GER,,29.,04.,1983,NE Face - Chinese traverse,
WALTER,Marianne,GER,f,29.,04.,1983,NE Face - Chinese traverse,
BROWNING,Michael,USA,,30.,09.,1983,NE Face - Chinese traverse,
PIZZO,Christopher,USA,,30.,09.,1983,NE Face - Chinese traverse,
PORZAK,Glenn E.,USA,,30.,09.,1983,NE Face - Chinese traverse,
HOWE,David E.,USA,,06.,05.,1984,NE Face - Chinese traverse,
JENKINS,Mark David,USA,,06.,05.,1984,NE Face - Chinese traverse,
KELLEY,Douglas A.,USA,,06.,05.,1984,NE Face - Chinese traverse,
WINGERT,Michael,USA,,06.,05.,1984,NE Face - Chinese traverse,
CREER,Steve,USA,,08.,05.,1984,NE Face - Chinese traverse,
LEHNER,Michael,USA,,08.,05.,1984,NE Face - Chinese traverse,
GASSLER,Oswald,A,Tyrol,10.,05.,1985,NE Face - Chinese traverse,
SCHAUSBERGER,Leopold,A,Upper Austria,10.,05.,1985,NE Face - Chinese traverse,
WÖRGÖTTER,Peter,A,Salzburg,10.,05.,1985,NE Face - Chinese traverse,
HEINZEL,Gottfried,A,,12.,05.,1985,NE Face - Chinese traverse,
KENDLER,Balthasar,A,Salzburg,12.,05.,1985,NE Face - Chinese traverse,
SCHILCHER,Thomas,A,,12.,05.,1985,NE Face - Chinese traverse,1

VEDANI,Angelo,CH,,12.,05.,1985,NE Face - Chinese traverse,
WAGNER,Helmut,A,Tyrol,12.,05.,1985,NE Face - Chinese traverse,
WANGELER,Josef,CH,,12.,05.,1985,NE Face - Chinese traverse,
WETTSTEIN,Max,CH,,12.,05.,1985,NE Face - Chinese traverse,
DE MARCHI,Giuliano,ITA,,16.,05.,1985,NE Face - Chinese traverse,
KARNER,Leopold,A,Styria,19.,05.,1985,NE Face - Chinese traverse,
SCHELL,Hanns,A,Styria,19.,05.,1985,NE Face - Chinese traverse,
SCHILCHER,Thomas,A,,19.,05.,1985,NE Face - Chinese traverse,2
LEUPRECHT,Michael,A,Tyrol,20.,09.,1986,N Ridge - C Peak - W Ridge,
OBERAUER,Josef (Sepp),A,Tyrol,20.,09.,1986,N Ridge - C Peak - W Ridge,
PERRY,Michael,NZ,,20.,05.,1987,NE Face - Chinese traverse,
WHETU,Mark,NZ,Maori,20.,05.,1987,NE Face - Chinese traverse,
AVILA,Elsa,MEX,f,18.,09.,1987,N Ridge - C Peak - W Ridge,
CARSOLIO,Carlos,MEX,,18.,09.,1987,N Ridge - C Peak - W Ridge,
HAJZER,Artur Henryk,POL,,18.,09.,1987,W Ridge,
KUKUCZKA,Jerzy,POL,,18.,09.,1987,W Ridge,
NAVARRETE,Ramiro,ECU,,18.,09.,1987,N Ridge - C Peak - W Ridge,
RUTKIEWICZ (b BŁASZKIEWICZ),Wanda,POL,f,18.,09.,1987,N Ridge - C Peak - W Ridge,
WARECKI,Ryszard,POL,,18.,09.,1987,N Ridge - C Peak - W Ridge,
HINKES,Alan,UK,English,19.,09.,1987,"C Couloir of N Face, Central-Peak",
UNTCH,Steven Donald Frederick (Steve),USA,,19.,09.,1987,"C Couloir of N Face, Central-Peak",
FISCHBACH,Tilman,GER,Baden-Württ.,13.,05.,1988,N Ridge - C Peak - W Ridge,
GÜRTLER,Klaus,A,Tyrol,13.,05.,1988,N Ridge - C Peak - W Ridge,
KONZERT,Peter,A,,13.,05.,1988,N Ridge - C Peak - W Ridge,
KULLMANN,Bernd,GER,Baden-Württ.,14.,05.,1988,NE Face - Chinese traverse,
METZGER,Adolf,GER,,14.,05.,1988,NE Face - Chinese traverse,
OG,Herta,GER,f,14.,05.,1988,NE Face - Chinese traverse,
SCHUHMANN,Klaus,GER,,14.,05.,1988,NE Face - Chinese traverse,
BÄRNTHALER,Hans,A,Styria,17.,05.,1988,NE Face - Chinese traverse,
HOCHHOLZER,Thomas,GER,,17.,05.,1988,NE Face - Chinese traverse,
KUNZENDORF,Wolfgang,GER,,17.,05.,1988,NE Face - Chinese traverse,
SCHÜTZ,Jürgen,GER,,17.,05.,1988,NE Face - Chinese traverse,
THOMANN,Dieter,GER,,17.,05.,1988,NE Face - Chinese traverse,
BÉRHAULT,Patrick,F,,05.,09.,1988,NE Face - Chinese traverse,
DE STEFANI,Fausto,ITA,,05.,09.,1988,NE Face - Chinese traverse,
MARTINI,Sergio,ITA,,05.,09.,1988,NE Face - Chinese traverse,
DAIDOLA,Giorgio,ITA,,06.,09.,1988,NE Face - Chinese traverse,
GIVOIS,Didier,F,,06.,09.,1988,NE Face - Chinese traverse,
NEGRI,Pino,ITA,,06.,09.,1988,NE Face - Chinese traverse,
SAEGUSA,Teruo,JAP,,24.,10.,1988,NE Face - Chinese traverse,
YAMADA,Noboru,JAP,,24.,10.,1988,NE Face - Chinese traverse,
YAMAMOTO,Atsushi,JAP,,24.,10.,1988,NE Face - Chinese traverse,
SUZUKI,Kiyohiko,JAP,,16.,04.,1989,NE Face - Chinese traverse,
TAKAMURA,Sinji,JAP,,16.,04.,1989,NE Face - Chinese traverse,

TSUJI,Yoshiyuki,JAP,,16.,04.,1989,NE Face - Chinese traverse,
KOZJEK,Pavle,SLO,,19.,10.,1989,"SW Face, Central Buttress",
ŠTREMFELJ,Andrej,SLO,,19.,10.,1989,"SW Face, Central Buttress",
BENCE,Filip (Ta črn),SLO,,20.,10.,1989,SW Face (Right Part) - SE Ridge,
GROŠELJ,Viktor (Viki),SLO,,20.,10.,1989,SW Face (Right Part) - SE Ridge,
FRIES,Elmar,GER,,12.,05.,1990,NE Face - Chinese traverse,
NEUHAUSER,Johann,A,,12.,05.,1990,NE Face - Chinese traverse,
EXPÓSITO,Pedro,E,Aragonese,13.,10.,1990,NE Face - Chinese traverse,
GAN,Francisco (Curro),E,Catalan,13.,10.,1990,NE Face - Chinese traverse,
MARTÍNEZ,Joan,E,Catalan,13.,10.,1990,NE Face - Chinese traverse,
PÉREZ,Francisco,E,Andalusian,13.,10.,1990,NE Face - Chinese traverse,
SANTAEUFEMIA,Roberto,E,Galician,13.,10.,1990,NE Face - Chinese traverse,
VIDAL,Miguel Ángel,E,Castilian (L),13.,10.,1990,NE Face - Chinese traverse,
DÖRRICH,Ottilie,GER,f,20.,05.,1991,NE Face - Chinese traverse,
FRITSCHE,Theo,A,Vorarlberg,20.,05.,1991,NE Face - Chinese traverse,
HÄRTER,Günther,GER,,20.,05.,1991,NE Face - Chinese traverse,
HECHER,Kurt,A,Carinthia,20.,05.,1991,NE Face - Chinese traverse,
PORSCHE,Dieter Albin,GER,Baden-Württ.,20.,05.,1991,NE Face - Chinese traverse,
SCHNUTT,Herwig,A,Styria,20.,05.,1991,NE Face - Chinese traverse,
KIM,Chang-Seon,SK,,08.,10.,1991,"SW Face, Central Couloir",
KIM,Jae-Soo,SK,,08.,10.,1991,"SW Face, Central Couloir",
CADIACH,Òscar,E,Catalan,04.,10.,1993,"SW Face, Central Couloir",
DE LA MATTA,Manel,E,Catalan,04.,10.,1993,"SW Face, Central Couloir",
MAUDUIT,Chantal,F,f,04.,10.,1993,"SW Face, Central Couloir",
BIANCHI,Marco,ITA,,06.,10.,1993,SW Face (Right Part) - SE Ridge,
PUSTELNIK,Piotr Czeslaw (Pusty),POL,,06.,10.,1993,SW Face (Right Part) - SE Ridge,
WIELICKI,Krzysztof,POL,,07.,10.,1993,"SW Face, Right Hand Couloir",
AKBU (AKEBU),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
DACHUNG (DAQIONG),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
DAQIMI (DA CHIMYI),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
JIABU (GYALBU),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,2
LUOZE (LODUE),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
PEMBA TASHI (BIANBA ZAXI) I,,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
RENA (REN NA),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
TSERING DORJE I (CERIN DUOJI),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
WANGJIA (WANGYAL),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
KIRSCHMER,Jakob,GER,,28.,05.,1994,N Ridge - C Peak - W Ridge,
KEKUS,Nikola,UK,English,04.,10.,1994,N Ridge - C Peak - W Ridge,
LORETAN,Erhard,CH,,29.,04.,1995,N Ridge - C Peak - W Ridge,
RATTEIT,Rodja,GER,,12.,05.,1995,N Ridge - C Peak - W Ridge,
KOTRONAROS,Panagiotis,GRE,,13.,05.,1995,N Ridge - C Peak - W Ridge,
SONAM DENDU (SONA DENDU),,NEP,Sherpa,13.,05.,1995,N Ridge - C Peak - W Ridge,
JOOS,Norbert (Noppa),CH,,01.,05.,1996,N Ridge - C Peak - W Ridge,
SLUKA,Štefan,SLK,,01.,05.,1996,NE Face - Chinese traverse,

ŠPERKA,Peter,SLK,,01.,05.,1996,NE Face - Chinese traverse,
HASLER,Bruno,CH,,21.,05.,1996,NE Face - Chinese traverse,
ZINSLI,Christian,CH,Graubünden,21.,05.,1996,NE Face - Chinese traverse,
GUGGEMOS,Peter,GER,Bayern,30.,05.,1996,NE Face - Chinese traverse,
SCHNEIDER,Manuel,GER,,30.,05.,1996,NE Face - Chinese traverse,
BEREZIARTUA,Jesús (Josu),E,Basque (G),11.,10.,1996,"SW Face, Central Couloir",
IÑURRATEGI,Alberto,E,Basque (G),11.,10.,1996,"SW Face, Central Couloir",
IÑURRATEGI,Félix,E,Basque (G),11.,10.,1996,"SW Face, Central Couloir",
BRILL,Peter,GER,,24.,05.,1997,NE Face - Chinese traverse,
DUJMOVITS,Ralf,GER,Baden-Württ.,24.,05.,1997,NE Face - Chinese traverse,1
HUB,Karl,GER,,24.,05.,1997,NE Face - Chinese traverse,
NEUHUBER,Alois,A,Upper Austria,24.,05.,1997,NE Face - Chinese traverse,
OSTERBAUER,Gerhard,A,Vienna,24.,05.,1997,NE Face - Chinese traverse,
PRASICEK,Franz,A,Lower Austria,24.,05.,1997,NE Face - Chinese traverse,
ANDRES,Stefan,ITA,South Tyrolean,06.,05.,1998,NE Face - Chinese traverse,
KUNTNER,Christian,ITA,South Tyrolean,06.,05.,1998,NE Face - Chinese traverse,
BLANC,Abele,ITA,Aostan,14.,05.,1998,N Ridge - C Peak - W Ridge,
CAMANDONA,Marco,ITA,,14.,05.,1998,N Ridge - C Peak - W Ridge,
NICLEVICZ,Waldemar,BRA,,14.,05.,1998,N Ridge - C Peak - W Ridge,
OIARZABAL,Juan Eusebio (Juanito),E,Basque (A),10.,10.,1998,"SW Face, Central Couloir",
STANGL,Christian,A,Styria,10.,10.,1998,"SW Face, Central Couloir",
KEREJETA,Ignacio (Iñaki),E,Basque (A),11.,10.,1998,"SW Face, Central Couloir",
BENET,Romano,ITA,,12.,05.,1999,NE Face - Chinese traverse,
MEROI,Nives,ITA,f,12.,05.,1999,NE Face - Chinese traverse,
FUKUMOTO,Masashi,JAP,,29.,10.,1999,NE Face - Chinese traverse,
GOTO,Fumiaki,JAP,,29.,10.,1999,NE Face - Chinese traverse,
HOSHINO,Ryushi,JAP,,29.,10.,1999,NE Face - Chinese traverse,
KENMOCHI,Noriyuki,JAP,,29.,10.,1999,NE Face - Chinese traverse,1
NAZUKA,Hideji,JAP,,29.,10.,1999,NE Face - Chinese traverse,
KHADEM,Davoud,IRN,,28.,05.,2000,N Ridge - C Peak - W Ridge,
MEHDIZADEH,Akbar,IRN,,28.,05.,2000,N Ridge - C Peak - W Ridge,
ORAZ,Mohammad,IRN,,28.,05.,2000,N Ridge - C Peak - W Ridge,
KANG,Seong-Gyu,SK,,02.,10.,2000,"SW Face, Central Couloir",
OH,Hee-Jun,SK,,02.,10.,2000,"SW Face, Central Couloir",
PARK,Young-Seok,SK,,02.,10.,2000,"SW Face, Central Couloir",
SHERAP JANGBU (SERAP JANGBU),,NEP,Sherpa,02.,10.,2000,"SW Face, Central Couloir",
KWON,Soon-Jae,SK,,05.,10.,2000,"SW Face, Central Couloir",
LEE,Gin-Kun,SK,,05.,10.,2000,"SW Face, Central Couloir",
LEE,Hyun-Jo,SK,,05.,10.,2000,"SW Face, Central Couloir",
